grid_id,연도,월,구,포트홀 발생수,left,top,right,bottom
13254,2021,2,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,3,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,4,달서구,1,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,5,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,6,달서구,1,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,7,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,8,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,9,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,10,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,11,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2021,12,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,1,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,2,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,3,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,4,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,5,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,6,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,7,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,8,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,9,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,10,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,11,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2022,12,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2024,1,달서구,1,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2024,2,달서구,1,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2024,3,달서구,1,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2024,4,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2024,5,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2024,6,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13254,2024,7,달서구,0,128.553412893,35.843196240999994,128.556232893,35.840946241
13255,2021,1,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,2,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,3,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,4,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,5,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,6,달서구,1,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,7,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,8,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,9,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,10,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,11,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2021,12,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,1,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,2,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,3,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,4,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,5,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,6,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,7,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,8,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,9,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,10,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,11,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2022,12,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2024,1,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2024,2,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2024,3,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2024,4,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2024,5,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2024,6,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13255,2024,7,달서구,0,128.553412893,35.840946241,128.556232893,35.838696241
13256,2021,1,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,2,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,3,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,4,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,5,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,6,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,7,달서구,2,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,8,달서구,2,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,9,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,10,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,11,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2021,12,달서구,2,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,1,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,2,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,3,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,4,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,5,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,6,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,7,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,8,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,9,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,10,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,11,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2022,12,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2024,1,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2024,2,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2024,3,달서구,2,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2024,4,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2024,5,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2024,6,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13256,2024,7,달서구,0,128.553412893,35.838696240999994,128.556232893,35.836446241
13257,2021,1,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,1,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,2,남구,1,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,2,달서구,2,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,3,남구,1,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,3,달서구,2,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,4,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,4,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,5,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,5,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,6,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,6,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,7,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,7,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,8,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,8,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,9,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,9,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,10,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,10,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,11,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,11,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,12,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2021,12,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,1,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,1,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,2,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,2,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,3,남구,1,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,3,달서구,2,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,4,남구,1,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,4,달서구,2,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,5,남구,1,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,5,달서구,2,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,6,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,6,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,7,남구,1,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,7,달서구,2,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,8,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,8,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,9,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,9,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,10,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,10,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,11,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,11,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,12,남구,1,128.553412893,35.836446241,128.556232893,35.834196241
13257,2022,12,달서구,2,128.553412893,35.836446241,128.556232893,35.834196241
13257,2024,1,남구,1,128.553412893,35.836446241,128.556232893,35.834196241
13257,2024,1,달서구,2,128.553412893,35.836446241,128.556232893,35.834196241
13257,2024,2,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2024,2,달서구,0,128.553412893,35.836446241,128.556232893,35.834196241
13257,2024,3,남구,1,128.553412893,35.836446241,128.556232893,35.834196241
13257,2024,3,달서구,2,128.553412893,35.836446241,128.556232893,35.834196241
13257,2024,4,남구,0,128.553412893,35.836446241,128.556232893,35.834196241
